Open spending;;;;;;
Versie 24 maart 2016;;;;;;
De Algemene Rekenkamer maakt, in de vorm van dit bestand, haar grootboek met daarin haar uitgaven en ontvangsten in 2015 volledig openbaar. Wij doen dit omdat open spending kan bijdragen aan het verbeteren van de financiële transparantie van de overheid. Als er gedetailleerde informatie (op het niveau van individuele transacties) beschikbaar is over de overheidsuitgaven kunnen burgers beter zicht krijgen op de uitgaven van overheden. Dit biedt hen ook de mogelijkheid om een actieve bijdrage te leveren aan een slagvaardige overheid. Iedereen kan namelijk nieuwe inzichten verkrijgen en delen door het maken van visualisaties of kritisch meekijken naar de besteding van overheidsgeld.;;;;;;
;;;;;;
Licentie en aansprakelijkheid;;;;;;
De gegevens in dit document vallen onder de licentie ‘Naamsvermelding’ van Creative Commons (http://creativecommons.org/licenses/by/3.0/nl/). Dit houdt in dat de data vrij gebruikt, bewerkt en gedeeld mogen worden, op voorwaarde dat de Algemene Rekenkamer expliciet als bron wordt vermeld. ;;;;;;
De Algemene Rekenkamer heeft bij het samenstellen van dit document de grootst mogelijke zorgvuldigheid in acht genomen. U kunt echter geen rechten ontlenen aan de informatie in dit document.;;;;;;
;;;;;;
Grootboek;;;;;;
Dit document bevat ons openbare grootboek voor het jaar 2015. Het bestand bevat informatie over onze uitgaven uit twee systemen: ons financiële systeem en het personeelssysteem P-direkt. De uitgaven uit ons financiële systeem zijn hier opgenomen in de vorm van alle individuele transacties. De uitgaven uit het systeem P-direkt zijn deels als individuele transacties opgenomen (de buitenlandse dienstreizen) en deels als geaggregeerde transacties (de loonkosten, gratificaties en de binnenlandse dienstreizen).;;;;;;
De feitelijke loonbetalingen, premie- en loonbelastingafdrachten worden voor de Algemene Rekenkamer verzorgd door het ministerie van Binnenlandse Zaken en Koninkrijksrelaties. Zij boeken de uitgaven rechtstreeks ten laste van de begroting van de Algemene Rekenkamer. In ons grootboek registreren we maandelijks de totale loonkosten waarbij we de gratificaties en de uitgaven voor binnenlandse- en buitenlandse dienstreizen apart registreren. De vergoedingen voor buitenlandse dienstreizen registreren we gedetailleerder dan de vergoedingen voor binnenlandse dienstreizen, gratificaties en loonkosten. Dit doen we omdat veel van de kosten voor buitenlandse dienstreizen doorbelast moeten worden aan externe financiers van onze buitenlandprojecten.;;;;;;
;;;;;;
Positieve en negatieve bedragen;;;;;;
